5170	22	0	0	14
5176	37	1	3	16
5177	17	0	1	1
5178	5	2	2	3
5180	15	0	2	11
5184	12	0	0	2
5185	28	0	0	3
5188	36	0	0	6
5192	1	0	0	6
5193	1	0	0	0
5195	0	0	0	4
5196	0	0	0	1
5197	1	0	0	1
5199	0	0	0	3
5211	45	0	0	13
5213	10	0	2	2
5215	25	0	0	3
5216	55	2	6	2
5218	2	1	0	6
5221	20	2	0	1
5222	85	11	5	4
5224	65	140	3	18
5225	12	0	0	2
5228	4	0	0	3
5229	1	0	0	1
5230	2	0	0	4
5232	5	0	0	1
5233	75	0	0	48
5236	17	1	0	0
5237	5	0	0	5
5244	8	1	0	1
5247	68	6	6	13
5248	1	0	3	2
5249	9	5	1	2
5253	52	0	0	16
5254	80	17	1	5
5259	3	0	0	2
5261	8	0	0	4
5267	8	0	1	1
5272	20	0	0	3
5278	62	0	0	5
5282	65	5	1	6
5285	5	2	0	3
5288	7	0	0	9
5295	10	0	0	1
5298	7	0	13	5
5299	83	1	0	16
5300	40	0	0	6
5306	2	1	0	7
5308	7	0	0	2
5309	32	0	0	0
5311	1	0	1	0
5312	3	2	0	3
5313	3	19	2	10
5314	94	0	0	46
5315	0	0	0	0
5320	43	0	0	10
5321	51	16	3	7
5323	20	0	0	6
5326	39	1	5	8
5329	16	4	7	3
5330	5	3	0	2
5331	0	0	0	0
5332	1	0	0	0
5333	0	0	0	0
5334	1	0	0	0
5335	0	0	0	0
5336	1	0	0	0
5337	1	0	0	2
5346	10	0	0	3
5350	1	0	0	1
5360	5	21	3	6
5361	9	0	0	4
5362	3	1	0	2
5363	21	8	0	7
5367	23	4	0	2
5370	10	4	5	3
5371	71	0	0	5
5373	8	2	0	1
5374	30	0	0	5
5375	2	0	0	0
5376	5	0	1	5
5377	26	0	0	9
5378	1	0	1	10
5382	42	3	0	14
5385	9	1	0	2
5387	9	0	0	4
5388	6	0	0	4
5390	1	0	0	0
5391	27	0	1	3
5394	7	0	0	4
5395	17	0	0	3
5397	112	0	0	5
5399	106	21	0	2
5401	28	6	1	2
5403	38	0	6	4
5404	1	0	0	0
5405	183	2	22	15
5407	118	0	0	8
5408	18	55	0	6
5409	1	0	0	1
5410	1	0	0	0
5411	6	2	0	1
5412	2	4	0	2
5413	4	0	0	2
5415	7	0	0	0
5416	26	0	0	4
5420	1	0	0	0
5421	7	0	1	0
5422	17	0	0	0
5428	0	0	0	7
5429	1	0	0	2
5430	0	0	0	1
5431	1	2	3	6
5432	0	0	0	0
5433	1	0	0	0
5434	0	0	0	0
5436	1	0	0	0
5439	13	3	0	7
5447	42	7	0	2
5448	1	0	0	1
5449	1	0	0	3
5450	0	0	0	1
5451	1	1	1	0
5452	10	0	0	0
5453	1	0	0	1
5454	0	0	0	1
5455	1	0	0	0
5456	0	0	0	3
5460	2	0	0	1
5461	1	0	0	1
5462	1	2	0	1
5465	0	0	0	0
5466	2	0	0	0
5467	0	0	0	1
5468	43	0	0	6
5469	10	0	0	1
5470	7	0	0	1
5471	0	0	0	1
5472	1	0	0	0
5473	0	0	0	0
5474	0	0	0	0
5475	1	0	0	0
5477	0	0	0	2
5478	29	31	6	0
5479	0	0	0	3
5480	1	0	0	2
5481	0	0	0	0
5482	0	0	0	1
5483	0	0	0	0
5484	0	0	0	0
5485	0	0	0	1
5486	1	0	1	3
5487	0	0	0	2
5488	54	9	6	2
5489	76	24	5	8
5490	1	0	0	11
5493	0	0	0	1
5494	1	0	0	2
5495	1	0	0	0
5496	0	0	0	1
5497	0	0	0	0
5498	0	0	0	0
5499	2	0	0	0
5500	21	0	0	2
5510	3	3	0	3
5520	12	1	0	1
5523	0	0	0	0
5530	9	0	0	4
5541	4	0	0	2
5551	67	13	2	13
5552	0	0	0	2
5554	12	0	0	0
5555	0	0	0	1
5556	0	0	0	1
5558	0	0	0	0
5559	1	0	0	0
5560	0	0	0	0
5561	11	0	1	2
5565	11	0	4	2
5566	0	0	0	1
5567	1	0	0	1
5570	0	0	0	1
5571	1	0	0	0
5573	104	0	21	5
5574	1	0	0	2
5575	2	0	0	0
5576	1	0	0	2
5577	1	0	0	3
5578	0	4	0	2
5580	2	0	0	2
5582	0	0	0	1
5584	13	0	0	8
5588	0	0	0	1
5590	0	0	0	1
5592	0	0	0	5
5593	103	3	1	1
